Title,Label
"Government announces new economic policy","REAL"
"Aliens spotted in New York City","FAKE"
"Stock market reaches all-time high","REAL"
"Scientists find cure for aging","FAKE"
"Local man wins lottery twice","FAKE"
"NASA launches new Mars rover","REAL"
"New AI system improves medical diagnosis","REAL"
"Chocolate can make you invisible","FAKE"
"President addresses the nation","REAL"
"Time traveler appears in old photograph","FAKE"
"Government approves new education reform","REAL"
"Man claims to live without food for 10 years","FAKE"
"New vaccine shows 95% success rate","REAL"
"Earth will collide with Mars next month","FAKE"
"Company reports record profits this quarter","REAL"
"Mermaid found on a beach in California","FAKE"
"Scientists develop new renewable energy source","REAL"
"Ghost appears on live TV show","FAKE"
"New law passed to improve healthcare system","REAL"
"Secret portal to another dimension discovered","FAKE"
"5G towers causing birds to fall from sky","FAKE"
